,Origin,Date,mta_ridership,uber_ridership
351,Brooklyn Heights,2017-04,1115052.0,5854.0
352,Brooklyn Heights,2017-05,1260881.0,6282.0
353,Brooklyn Heights,2017-06,1192818.0,6223.0
354,Brooklyn Heights,2017-07,1032936.0,5764.0
355,Brooklyn Heights,2017-08,1133518.0,6747.0
356,Brooklyn Heights,2017-09,1134172.0,6442.0
357,Brooklyn Heights,2017-10,1196515.0,7076.0
358,Brooklyn Heights,2017-11,998814.0,7195.0
359,Brooklyn Heights,2017-12,838242.0,6778.0
360,Brownsville,2015-01,568539.0,120.0
361,Brownsville,2015-02,554108.0,187.0
362,Brownsville,2015-03,705297.0,235.0
363,Brownsville,2015-04,668745.0,295.0
364,Brownsville,2015-05,643242.0,276.0
365,Brownsville,2015-06,656239.0,343.0
366,Brownsville,2015-07,625762.0,392.0
367,Brownsville,2015-08,532441.0,426.0
368,Brownsville,2015-09,633346.0,506.0
369,Brownsville,2015-10,714574.0,671.0
370,Brownsville,2015-11,604826.0,692.0
371,Brownsville,2015-12,621856.0,901.0
372,Brownsville,2016-01,566957.0,997.0
373,Brownsville,2016-02,547678.0,1414.0
374,Brownsville,2016-03,712545.0,2000.0
375,Brownsville,2016-04,640054.0,1884.0
376,Brownsville,2016-05,677859.0,2070.0
377,Brownsville,2016-06,634634.0,1995.0
378,Brownsville,2016-07,559093.0,1721.0
379,Brownsville,2016-08,612760.0,2171.0
380,Brownsville,2016-09,660762.0,2480.0
381,Brownsville,2016-10,555072.0,2838.0
382,Brownsville,2016-11,538976.0,3954.0
383,Brownsville,2016-12,498388.0,4991.0
384,Brownsville,2017-01,505763.0,4680.0
385,Brownsville,2017-02,463723.0,4918.0
386,Brownsville,2017-03,579248.0,6766.0
387,Brownsville,2017-04,496262.0,5890.0
388,Brownsville,2017-05,599982.0,6879.0
389,Brownsville,2017-06,570196.0,7011.0
390,Brownsville,2017-07,528654.0,6184.0
391,Brownsville,2017-08,586492.0,7852.0
392,Brownsville,2017-09,615284.0,7985.0
393,Brownsville,2017-10,669088.0,9127.0
394,Brownsville,2017-11,605703.0,10176.0
395,Brownsville,2017-12,521980.0,9982.0
396,Bushwick North,2015-01,915646.0,851.0
397,Bushwick North,2015-02,922262.0,866.0
398,Bushwick North,2015-03,1136323.0,1058.0
399,Bushwick North,2015-04,1110399.0,1211.0
400,Bushwick North,2015-05,1070830.0,1310.0
401,Bushwick North,2015-06,1106328.0,1561.0
402,Bushwick North,2015-07,1073178.0,1832.0
403,Bushwick North,2015-08,975530.0,2108.0
404,Bushwick North,2015-09,1098163.0,2306.0
405,Bushwick North,2015-10,1187802.0,2693.0
406,Bushwick North,2015-11,997987.0,2804.0
407,Bushwick North,2015-12,1007094.0,3027.0
408,Bushwick North,2016-01,946259.0,3231.0
409,Bushwick North,2016-02,988704.0,3244.0
410,Bushwick North,2016-03,1195970.0,3946.0
411,Bushwick North,2016-04,1086819.0,3766.0
412,Bushwick North,2016-05,1109691.0,3824.0
413,Bushwick North,2016-06,1119632.0,3934.0
414,Bushwick North,2016-07,952561.0,3853.0
415,Bushwick North,2016-08,1053572.0,4251.0
416,Bushwick North,2016-09,1100805.0,4388.0
417,Bushwick North,2016-10,1070734.0,4585.0
418,Bushwick North,2016-11,994462.0,5426.0
419,Bushwick North,2016-12,939564.0,5743.0
420,Bushwick North,2017-01,956272.0,5531.0
421,Bushwick North,2017-02,914719.0,4648.0
422,Bushwick North,2017-03,1112899.0,5860.0
423,Bushwick North,2017-04,1006354.0,5379.0
424,Bushwick North,2017-05,1153822.0,6517.0
425,Bushwick North,2017-06,1097107.0,6552.0
426,Bushwick North,2017-07,1029860.0,6065.0
427,Bushwick North,2017-08,1166204.0,7208.0
428,Bushwick North,2017-09,1061381.0,7009.0
429,Bushwick North,2017-10,1160670.0,7406.0
430,Bushwick North,2017-11,1025745.0,8035.0
431,Bushwick North,2017-12,887773.0,7329.0
432,Bushwick South,2015-01,1104089.0,1457.0
433,Bushwick South,2015-02,1108961.0,1502.0
434,Bushwick South,2015-03,1376682.0,1675.0
435,Bushwick South,2015-04,1361929.0,1862.0
436,Bushwick South,2015-05,1302958.0,2037.0
437,Bushwick South,2015-06,1342836.0,2442.0
438,Bushwick South,2015-07,1282389.0,3273.0
439,Bushwick South,2015-08,1173925.0,3075.0
440,Bushwick South,2015-09,1337358.0,3607.0
441,Bushwick South,2015-10,1463254.0,4163.0
442,Bushwick South,2015-11,1236483.0,3963.0
443,Bushwick South,2015-12,1260110.0,4446.0
444,Bushwick South,2016-01,1181754.0,4723.0
445,Bushwick South,2016-02,1159446.0,5119.0
446,Bushwick South,2016-03,1414415.0,5843.0
447,Bushwick South,2016-04,1313631.0,5695.0
448,Bushwick South,2016-05,1350709.0,6034.0
449,Bushwick South,2016-06,1362908.0,5807.0
450,Bushwick South,2016-07,1195258.0,5568.0
451,Bushwick South,2016-08,1332361.0,6644.0
452,Bushwick South,2016-09,1387127.0,6940.0
